GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",userManagement,VisitorItems,3,0,0,0,1,0,1,0,1,0
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",userManagement,NonFacultyItems,3,0,0,0,1,0,1,0,1,0
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",userManagement,CommonUserOperations,0,221,6,28,0,49,6,20,0,9
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",userManagement,SystemManager,60,355,13,41,13,87,12,27,0,12
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",userManagement,RentalTransaction,0,103,0,4,0,36,0,17,0,15
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",userManagement,NonFaculty,0,6,0,0,0,2,0,1,0,1
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",userManagement,Student,20,86,3,7,4,27,3,6,0,4
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",userManagement,Visitor,0,6,0,0,0,2,0,1,0,1
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",userManagement,Faculty,19,35,1,3,4,12,1,3,0,2
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",userManagement,StudentItems,3,0,0,0,1,0,1,0,1,0
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",userManagement,FacultyItems,3,0,0,0,1,0,1,0,1,0
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",userManagement,User,90,591,14,38,18,136,17,29,3,17
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",itemManagement,CourseManagement,0,56,0,0,0,13,0,7,0,7
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",itemManagement,RentalManagement,20,95,2,4,1,20,2,9,0,8
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",itemManagement,Course,0,23,0,0,0,10,0,5,0,5
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",itemManagement,OpenState,13,3,0,0,6,1,3,1,3,1
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",itemManagement,TextbookAccess,0,58,0,0,0,17,0,10,0,10
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",itemManagement,DiscountedNotification,0,141,1,7,0,26,1,11,0,8
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",itemManagement,PhysicalItem,6,193,2,8,2,53,3,20,1,17
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",itemManagement,Textbook,16,44,2,6,4,13,3,6,1,4
"projectTest (Apr 5, 2024 7:45:34 PM)/pdTwo/src/main/java",itemManagement,OnlineBook,0,90,0,2,0,30,0,14,0,13
